player_id,player_name,position,opponent,targets,receptions,rushing_yards,rushing_tds,receiving_yards,receiving_tds,passing_yards,passing_tds,fantasy_points_ppr,fantasy_points
00-0036945,J.Fields,QB,PIT,0,0,48,2,0,0,218,1,29.520000000000003,29.520000000000003
00-0036223,J.Taylor,RB,DEN,2,2,165,0,50,1,0,0,29.5,27.5
00-0035710,D.Jones,QB,MIA,0,0,26,2,0,0,272,1,29.48,29.48
00-0035685,D.Montgomery,RB,BAL,1,1,151,2,13,0,0,0,29.400000000000002,28.400000000000002
00-0040189,O.Gadsden,TE,IND,9,7,0,0,164,1,0,0,29.400000000000002,22.400000000000002
00-0037744,T.McBride,TE,GB,13,10,0,0,74,2,0,0,29.4,19.4
00-0034796,L.Jackson,QB,BUF,0,0,70,1,0,0,209,2,29.36,29.36
00-0032764,D.Henry,RB,BUF,1,1,169,2,13,0,0,0,29.2,28.2
00-0039918,C.Williams,QB,DAL,0,0,12,0,0,0,298,4,29.12,29.12
00-0036389,J.Hurts,QB,LA,0,0,40,1,0,0,226,3,29.04,29.04
00-0033090,H.Henry,TE,PIT,11,8,0,0,90,2,0,0,29,21
